序号,班级编号,班级名称,性别,身高_cm,体重_kg,BMI分数,体重分数,体重等级,肺活量_ml,肺活量分数,肺活量等级,50米跑_秒,50米跑分数,50米跑等级,坐位体前屈_cm,坐位体前屈分数,坐位体前屈等级,跳绳_个,跳绳分数,跳绳等级,跳绳附加分,标准分数,附加分,总分数,总分等级,性别_文字,BMI_计算
1,2019101,小学2019级1班,2,119,22,15.5,100,正常,1023,80.0,良好,11.9,78.0,及格,8.4,70.0,及格,28.0,62.0,及格,,76.0,0,76.0,及格,女,15.535626015111928
2,2019101,小学2019级1班,1,122,23,15.5,100,正常,1216,76.0,及格,11.6,70.0,及格,3.0,64.0,及格,53.0,70.0,及格,,73.6,0,73.6,及格,男,15.452835259338888
3,2019101,小学2019级1班,1,121,24,16.4,100,正常,1347,80.0,良好,12.6,60.0,及格,6.0,70.0,及格,37.0,64.0,及格,,72.8,0,72.8,及格,男,16.392322928761697
4,2019101,小学2019级1班,1,114,20,15.4,100,正常,927,66.0,及格,12.0,66.0,及格,3.0,64.0,及格,42.0,66.0,及格,,70.5,0,70.5,及格,男,15.389350569405973
5,2019101,小学2019级1班,2,115,19,14.4,100,正常,1017,80.0,良好,13.4,64.0,及格,15.0,85.0,良好,25.0,62.0,及格,,77.7,0,77.7,及格,女,14.366729678638944
6,2019101,小学2019级1班,1,116,22,16.3,100,正常,1306,80.0,良好,12.1,64.0,及格,7.0,72.0,及格,51.0,68.0,及格,,75.0,0,75.0,及格,男,16.34958382877527
7,2019101,小学2019级1班,1,118,23,16.5,100,正常,1108,72.0,及格,12.3,62.0,及格,12.0,85.0,良好,87.0,80.0,良好,,79.7,0,79.7,及格,男,16.518241884515945
8,2019101,小学2019级1班,2,112,20,15.9,100,正常,759,66.0,及格,11.3,85.0,良好,12.0,76.0,及格,103.0,90.0,优秀,,82.7,0,82.7,良好,女,15.943877551020407
9,2019101,小学2019级1班,2,116,20,14.9,100,正常,758,66.0,及格,12.2,76.0,及格,11.0,74.0,及格,47.0,68.0,及格,,75.9,0,75.9,及格,女,14.863258026159334
10,2019101,小学2019级1班,1,110,18,14.9,100,正常,853,64.0,及格,12.5,60.0,及格,7.0,72.0,及格,67.0,74.0,及格,,73.0,0,73.0,及格,男,14.876033057851238
